STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,TPCP
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19901001,579,1163
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19901101,370,997
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19901201,127,390
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19910101,43,43
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19910201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19910301,400,570
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19910401,99,221
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19910501,671,4573
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19910601,686,1373
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19910701,170,1219
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19910801,290,1034
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19910901,37,107
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19911001,170,227
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19911101,200,589
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19911201,125,185
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19920101,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19920201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19920301,3,3
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19920401,407,1591
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19920501,435,2189
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19920601,261,600
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19920701,371,1135
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19920801,70,307
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19920901,140,509
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19921001,225,526
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19921101,278,1008
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19921201,132,328
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19930101,110,385
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19930201,2,2
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19930301,48,48
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19930401,65,130
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19930501,620,2737
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19930601,230,1024
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19930701,70,274
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19930801,170,620
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19930901,80,338
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19931001,634,906
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19931101,270,681
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19931201,178,422
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19940101,7,9
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19940201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19940301,143,248
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19940401,893,2985
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19940501,611,3629
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19940601,509,1050
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19940701,670,1514
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19940801,221,460
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19940901,227,1230
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19941001,308,682
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19941101,248,1674
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19941201,275,1466
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19950101,23,52
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19950201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19950301,464,670
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19950401,465,1588
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19950501,674,3201
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19950601,15,39
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19950701,140,694
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19950801,956,1837
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19950901,134,456
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19951001,844,2645
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19951101,300,980
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19951201,79,165
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19960101,92,96
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19960201,109,161
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19960301,385,966
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19960401,368,1384
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19960501,953,4299
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19960601,16,42
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19960701,151,571
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19960801,57,248
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19960901,61,116
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19961001,58,154
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19961101,271,1065
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19961201,5,5
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19970101,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19970201,10,15
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19970301,23,31
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19970401,952,3196
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19970501,710,2791
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19970601,193,821
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19970701,290,858
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19970801,224,541
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19970901,49,176
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19971001,2330,8254
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19971101,992,3165
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19971201,325,2755
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19980101,662,2138
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19980201,198,634
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19980301,163,229
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19980401,810,2203
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19980501,490,1368
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19980601,89,164
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19980801,10,30
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19980901,20,60
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19981001,290,469
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19981101,221,501
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19981201,51,99
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19991001,99,259
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19991101,419,1171
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,19991201,191,343
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20000101,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20000301,140,180
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20000401,191,825
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20000501,1059,2165
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20000601,909,1939
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20000701,269,577
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20000801,340,735
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20000901,130,521
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20001001,99,142
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20001101,371,730
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20001201,231,476
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20010101,180,259
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20010201,8,40
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20010301,140,247
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20010401,310,1646
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20010501,300,1385
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20010601,361,1702
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20010701,61,375
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20010801,109,466
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20010901,20,117
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20011001,119,346
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20011101,320,1053
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20011201,71,257
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20020101,391,780
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20020201,71,92
